Delivery_ID,Date,Region,Product_Type,Quantity_kg,Distance_km,Vehicle_Type,Weather,Traffic_Level,Logistics_Partner,Temperature_C,Predicted_Time_hr,Delivery_Time_hr,Delay_Min,Fuel_Efficiency_km_per_litre,Fuel_Cost_USD,Customer_Rating,Delivery_Status,Payment_Status
1,20/10/2024,Lagos,Frozen Fish,350,60,Truck,Rainy,Medium,BlueWave Logistics,28.3,0.88,2.49,96.6,7.49,11.21,1.8,Delayed,Paid
2,05/02/2023,Port Harcourt,Frozen Fish,185,360,Truck,Sunny,Medium,EcoMove,37.6,5.52,5.52,0,7.63,66.06,5,On-Time,Paid
3,13/08/2023,Benin,Fresh Fish,537,116,Motorcycle,Sunny,Medium,EcoMove,31.4,2.85,2.85,0,6.03,26.93,5,On-Time,Paid
4,13/05/2024,Ibadan,Frozen Fish,1314,368,Truck,Sunny,Low,FishFleet,30.2,8.12,8.12,0,9.48,54.35,5,On-Time,Pending
5,15/04/2024,Kaduna,Frozen Fish,224,152,Motorcycle,Sunny,Medium,BlueWave Logistics,31.8,2.54,2.54,0,10.28,20.7,5,On-Time,Paid
6,19/09/2023,Kano,Fresh Fish,853,502,Motorcycle,Rainy,Medium,FishFleet,26.2,11.03,12.09,63.6,9.79,71.79,2.7,Delayed,Pending
7,03/12/2024,Kano,Frozen Fish,679,312,Truck,Sunny,Low,MarineXpress,27.3,4.92,4.92,0,6,72.8,4.4,On-Time,Paid
8,04/07/2023,Ibadan,Frozen Fish,1034,550,Truck,Sunny,High,FishFleet,35.9,11.17,12.43,75.6,8.78,87.7,2.2,Delayed,Paid
9,23/08/2024,Lagos,Frozen Fish,387,305,Truck,Rainy,Low,MarineXpress,26.3,4.64,6.37,103.8,7.75,55.1,1.6,Delayed,Paid
10,18/04/2024,Benin,Fresh Fish,408,336,Truck,Sunny,Low,BlueWave Logistics,25.8,7.96,7.96,0,8.06,58.36,5,On-Time,Paid
